2024-06-15 00:27:16.415; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.417; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.417; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.418; INFO; DenoiseAI Pluing; 26852; 15816] [DenoiseAI] OnDeviceStateChanged DEVICE_STATE_NOTPRESENT
2024-06-15 00:27:16.418; INFO; DenoiseAI Pluing; 26852; 15816] [DenoiseAI] HandleDevicePluginAndPlugoutAndCMedia push(0)
2024-06-15 00:27:16.420; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.421; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.430; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.430; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.432; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume, GUID : System_Volume, Mode : 48, ModeKey : 48, Type : System_Function
2024-06-15 00:27:16.433; INFO; HW Pluing; 26852; 30404] HWPlugin::SendNotificationThrdEx(): Send SendMonitorInfoJson @ USERSESSION.
2024-06-15 00:27:16.434; INFO; HW Pluing; 26852; 30404] HWPlugin::SendNotificationThrdEx(): Send SendMonitorInfoJson END! @ USERSESSION.
2024-06-15 00:27:16.434; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume_isMute, GUID : System_Volume_isMute, Mode : False, ModeKey : False, Type : System_Function
2024-06-15 00:27:16.450; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.451; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.452; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.453; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.453; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.455; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.456; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.456; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.456; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.457; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.457; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.458; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.458; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.459; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.459; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.459; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.459; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.460; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.461; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.461; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.462; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.462; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.462; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.462; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.462; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.462; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.463; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.463; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.463; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.463; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.464; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.464; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.464; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.465; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.465; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
