2024-06-17 00:42:31.027; INFO; User Session Manager; 10988; 120] OnPowerChange End
2024-06-17 00:42:31.027; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-17 00:42:31.027; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 4 
2024-06-17 00:42:31.027; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMSUSPEND
2024-06-17 00:42:32.041; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] PBT_APMSUSPEND Out
2024-06-17 00:42:32.041; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] out
2024-06-17 00:42:32.104; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] in
2024-06-17 00:42:32.104; INFO; User Session Manager; 10988; 8324] OnPowerChange Start
2024-06-17 00:42:32.104; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-17 00:42:32.104; INFO; User Session Manager; 10988; 8324] OnPowerChange dwEventType=18, lpEventData=0000000000000000
2024-06-17 00:42:32.104; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC In
2024-06-17 00:42:32.105; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary Start
2024-06-17 00:42:32.105; INFO; User Session Manager; 10988; 8324] OnPowerChange End
2024-06-17 00:42:32.105; INFO; User Session Manager; 10988; 8324] OnPowerChange Start
2024-06-17 00:42:32.105; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-17 00:42:32.105; INFO; User Session Manager; 10988; 8324] OnPowerChange dwEventType=7, lpEventData=0000000000000000
2024-06-17 00:42:32.105; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 18 
2024-06-17 00:42:32.105; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMEAUTOMATIC
2024-06-17 00:42:32.105; INFO; User Session Manager; 10988; 8324] OnPowerChange End
2024-06-17 00:42:32.105; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-17 00:42:32.105; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 7 
2024-06-17 00:42:32.105; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_APMRESUMESUSPEND
2024-06-17 00:42:32.483; INFO; AEF Core; 10988; 17620] Enter GetPacket loop - ConsoleBackground.
2024-06-17 00:42:32.484; INFO; Loopback Stream; 10988; 21736] CallLibrary Start
2024-06-17 00:42:32.484; INFO; GameBoxPlugIn; 10988; 21736] CallLibrary Start
2024-06-17 00:42:32.484; INFO; GameBoxPlugIn; 10988; 21736] CallLibrary End
2024-06-17 00:42:32.484; INFO; GameBoxPlugIn; 10988; 21736] CallLibrary Start
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] CallLibrary End
2024-06-17 00:42:32.490; WARNING; GameBoxPlugIn; 10988; 21736] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetRegString RegOpenKeyEx Fail: 0
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] CallLibrary Start
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] CallLibrary End
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] GetAsusDeviceList: Count=1
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] GetAsusDeviceList: no contain PPID
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] GetAsusDeviceList: no contain SN
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] GetAsusDeviceList: name=GU603HE, type=64, ppid=, sn=
2024-06-17 00:42:32.490; INFO; GameBoxPlugIn; 10988; 21736] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetAsusDeviceInformation: no device availiable.
2024-06-17 00:42:32.490; INFO; Loopback Stream; 10988; 21736] CallLibrary End
2024-06-17 00:42:32.549; INFO; Loopback Stream; 10988; 5480] CallLibrary Start
2024-06-17 00:42:32.549; INFO; GameBoxPlugIn; 10988; 5480] CallLibrary Start
2024-06-17 00:42:32.549; INFO; GameBoxPlugIn; 10988; 5480] CallLibrary End
2024-06-17 00:42:32.549; INFO; GameBoxPlugIn; 10988; 5480] CallLibrary Start
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] CallLibrary End
2024-06-17 00:42:32.554; WARNING; GameBoxPlugIn; 10988; 5480] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetRegString RegOpenKeyEx Fail: 0
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] CallLibrary Start
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] CallLibrary End
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] GetAsusDeviceList: Count=1
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] GetAsusDeviceList: no contain PPID
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] GetAsusDeviceList: no contain SN
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] GetAsusDeviceList: name=GU603HE, type=64, ppid=, sn=
2024-06-17 00:42:32.554; INFO; GameBoxPlugIn; 10988; 5480] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetAsusDeviceInformation: no device availiable.
2024-06-17 00:42:32.554; INFO; Loopback Stream; 10988; 5480] CallLibrary End
2024-06-17 00:42:32.696; INFO; Loopback Stream; 10988; 4668] CallLibrary Start
2024-06-17 00:42:32.696; INFO; Loopback Stream; 10988; 4668] CallLibrary End
2024-06-17 00:42:32.706; INFO; GameBoxPlugIn; 10988; 13608] CallLibrary End
2024-06-17 00:42:32.706; INFO; GameBoxPlugIn; 10988; 13608] DoPromotion : S_OK
2024-06-17 00:42:33.154; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC Out
2024-06-17 00:42:33.154; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] out
2024-06-17 00:42:33.154; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] in
2024-06-17 00:42:33.154; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-17 00:42:33.154; INFO; Aura Pluing; 10988; 19716] [AuraPlugin][isConnectedStandby] out
2024-06-17 00:42:34.739; INFO; Aura Pluing; 10988; 14060] [DataCollection][DailyDataCollection] DataCollection 24hr Trigger data collection !!
2024-06-17 00:42:34.739; WARNING; Aura Pluing; 10988; 14060] [DataCollection][DailyDataCollection] CreatorVersion = 3.8.6.0 
2024-06-17 00:42:34.740; INFO; Aura Pluing; 10988; 14060] Start InsertData to UserBehavior.
2024-06-17 00:42:34.740; INFO; Aura Pluing; 10988; 14060] CallLibrary Start
2024-06-17 00:42:34.740; INFO; Aura Pluing; 10988; 14060] CallLibrary End
2024-06-17 00:42:34.740; INFO; Aura Pluing; 10988; 14060] CallLibrary Start
2024-06-17 00:42:34.750; INFO; Aura Pluing; 10988; 14060] CallLibrary End
2024-06-17 00:42:34.750; ERROR; Aura Pluing; 10988; 14060] End InsertData to AuraPlugin, result:0x80004005.
2024-06-17 00:42:34.750; INFO; Aura Pluing; 10988; 14060] [DataCollection][DailyDataCollection] End !!
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [AuraListener] ChillDataCollectionTimer !!
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][GetPermanentEffect] Start
